,Nurse,Midwife,Data Clerk,Logistics Officer,ADR,Data Checking Clerk,Data Supervisor,Data Manager,Quality Supervisor,Administrator
DC-ACTIVE,,,,"1,2",3,,,,,"1, 2"
FC-POTENTIAL DUPLICATE,,,,"1,2",3,,,,,
DC-INCOMPLETE,,,,"11,6",,,,,,
DC-COMPLETE,,,,,"3,7",,,,,
DC-PENDING,,,,"11,6",3,,,,,
DC-DUPLICATE,,,,,5,,,,,
DC-REJECTED,,,,,"3,7",,,,,
DC-VOIDED,,,,,,,,,,
DC-POTENTIAL DUPLICATE,,,,,,,,,,
HQ-ACTIVE,,,,,,,,,,
HQ-RE-APPROVED,,,,,,,,,,
HQ-VOIDED,,,,,,,,,,
HQ-GRANTED,,,,,,,,,,
HQ-REJECTED,,,,,,,,,,
HQ-PRINTED,,,,,,,,,,
HQ-DISPATCHED,,,,,,,,,,
HQ-CAN-PRINT,,,,,,,,,,
HQ-CAN-REJECT,,,,,,,,,,
HQ-APPROVED,,,,,,,,,,
HQ-CONFLICT-TBA,,,,,,,,,,
HQ-POTENTIAL DUPLICATE-TBA,,,,,,,,,,
HQ-CAN-VOID,,,,,,,,,,
HQ-INCOMPLETE,,,,,,,,,,
HQ-RE-PRINT,,,,,,,,,,
HQ-CAN-RE-PRINT,,,,,,,,,,
HQ-VOIDED,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
END,,,,,,,,,,
Action Code,Description,Button Name,,,,,,,,"
"
1,Check for completeness,Check Completeness,,,,,,,,
2,Mark record as pending,Mark Pending,,,,,,,,
3,Approve current record,Approve,,,,,,,,
4,Reject for editing,Reject,,,,,,,,
5,Manage associated duplicates,Manage Duplicates,,,,,,,,
6,View comments,View Comments,,,,,,,,
7,Void current record,Void,,,,,,,,
8,Print records,Print,,,,,,,,
9,Dispatch record to district,Dispatch,,,,,,,,
10,Re-print current record,Re-print,,,,,,,,
11,Edit Record,Edit Record,,,,,,,,
12,Void Record,Void Record,,,,,,,,
,,,,,,,,,,
END CODES,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Root Folder Privileges,,,,,,,,,,
Folder/Role,Nurse,Midwife,Data Clerk,Logistics Officer,ADR,Data Checking Clerk,Data Supervisor,Data Manager,Quality Supervisor,Administrator
Register Child,Y,Y,Y,,,,,,,
View Records,Y,Y,Y,Y,Y,Y,,,,
View Synced Records,Y,Y,Y,Y,Y,Y,,,,
Reports,Y,Y,Y,Y,Y,Y,,,,Y
Manage Users,,,,,,,,,,Y
Change Own Password,Y,Y,Y,Y,Y,Y,,,,Y
Manage Cases,Y,Y,Y,Y,Y,,,,,
Search Cases,Y,Y,Y,Y,Y,,,,,
View Closed Cases,,,,,Y,,,,,
View Voided Records,,,,,Y,,,,,
Dispatched Certificates,,,,,Y,,,,,
Ammendment Requests,,,,,Y,,,,,
Request Change,,,,,,,,,,
View Requests,,,,,,,,,,
Manage Duplicates,,,,,Y,,,,,
Resolve Potential Duplicates,,,,,Y,,,,,
View Resolved Duplicates,,,,,Y,,,,,
Voided Duplicate Cases,,,,,Y,,,,,
View Rejected Cases,,,,Y,,,,,,
View HQ-Rejected Cases,,,,,Y,,,,,
Approved by ADR,,,,,Y,,,,,
Active Records,,,,Y,,,,,,
Complete Cases from LO,,,,Y,Y,,,,,
Pending Cases,,,,Y,,,,,,
View Printed Records,,,,,Y,,,,,
View Incomplete Cases,,,,Y,,,,,,
View Voided Records,,,,,Y,,,,,
Amendments,,,,,Y,,,,,
Lost/damage cases,,,,,Y,,,,,
Special Cases,,,,,Y,,,,,
,,,,,,,,,,
END ROOT FOLDER PRIVILEGES,,,,,,,,,,
